Vocabulary,English,Thai,Example,Phonetic,Synonyms,Antonyms
circumstance,[N] the situation around something,"[N] สถานการณ์, เหตุการณ์","Under the circumstances, we had no choice.",-ans,"condition, consideration, context",
clarify,[V] to explain so it's easier to understand,"[V] ชี้แจง, ทำให้ชัดเจน",Could you clarify what you mean?,klarihfeye,"elucidate, clear, illuminate, enlighten, shed light on","obscure, obfuscate, blur"
commitment,[N] a promise to do something / being dedicated,"[N] ความมุ่งมั่น, พันธสัญญา",We appreciate your commitment to quality.,,"dedication, allegiance, loyalty, consignment, committal",
commodity,[N] a basic product that is bought and sold (like oil or rice),"[N] สินค้า, สิ่งของ",Oil is a valuable commodity.,kuh-mahduhti,goods,
comparable,[Adj] similar enough to compare,[Adj] เทียบเคียงได้,The two products are comparable in quality.,kuhm-paruhbl̩,"corresponding, like, same","incomparable, uncomparable"
competitive,[Adj] trying hard to win / (price) as good as others,"[Adj] แข่งขัน, มีความสามารถในการแข่งขัน",We offer competitive salaries.,kuhm-pehtihtihv,"aggressive, militant, combative, agonistic, emulous",noncompetitive
component,[N] one piece of something bigger,[N] ส่วนประกอบ,Each component was tested individually.,kuhm-pohnuhnt,"element, constituent, part, factor, portion",
concern,[N/V] a worry / to be about something,"[N/V] ความกังวล, เกี่ยวข้อง",Safety is our main concern.,kuhn-sɜn,"vexation, touch, worry, interest, pertain",unconcern
conduct,[V/N] to do or carry out something / how you behave,"[V/N] ดำเนินการ, ความประพฤติ",We will conduct a survey next month.,kahnduhkt,"convey, demeanor, lead, direct, channel",
conference,[N] a big meeting where people discuss topics,[N] การประชุม,The conference is held annually in March.,kahn-fuh-ruhns,"group discussion, league",
confidential,"[Adj] secret, private, don't share it",[Adj] เป็นความลับ,This information is strictly confidential.,kahnfih-dehnshl,"close, secret, private, closet, classified",
consequence,[N] what happens because of something,[N] ผลที่ตามมา,There will be consequences for missing deadlines.,kahnsihkwehns,"issue, effect, outcome, result, aftermath",inconsequence
considerable,"[Adj] quite a lot, big enough to matter","[Adj] มาก, สำคัญ",We've made considerable progress.,kuhn-sihduhruhbl̩,"significant, substantial, extensive, sizeable, extended",inconsiderable
consistent,"[Adj] always the same, doesn't change","[Adj] สม่ำเสมอ, คงที่",Quality must be consistent across all products.,kuhn-sihstuhnt,"concordant, accordant, coherent, orderly, ordered","inconsistent, irreproducible, unreproducible"
constraint,[N] something that limits what you can do,[N] ข้อจำกัด,Budget constraints limit our options.,kuhn-straynt,restraint,
consult,[V] to ask an expert for advice,"[V] ปรึกษา, หารือ",You should consult a lawyer.,,"confabulate, refer, confab, look up, confer with",
contribute,[V] to give or help with something,"[V] มีส่วนร่วม, บริจาค",Everyone contributed to the project's success.,kuhn-t(sh)rihb-yut,"impart, lead, give, bestow, conduce",
controversy,[N] when people strongly disagree about something,[N] ข้อโต้แย้ง,The decision caused some controversy.,kahntruh-vɝsi,"contention, tilt, argument, contestation, arguing",
convention,[N] a big event or meeting / the normal way of doing things,"[N] การประชุมใหญ่, ธรรมเนียม",The industry convention is next month.,kuhn-vehn-shuhn,"pattern, rule, normal, formula, convening",unconventionality
convince,[V] to make someone believe or agree,"[V] โน้มน้าว, ทำให้เชื่อ",She convinced the board to approve the plan.,kuhn-vihns,"convert, turn, win over",
corporate,[Adj] related to a big company,"[Adj] ของบริษัท, องค์กร",The corporate office is in New York.,kawp(uh)ruht,"corporeal, joint, collective, incarnate, corporal",
correspond,[V] to match / to write messages to each other,"[V] ติดต่อ, สอดคล้อง",The numbers don't correspond with the report.,kahruh-spahnd,"fit, check, represent, jibe, match","disaccord, disagree, discord"
criteria,[N] the rules used to judge or decide,"[N] เกณฑ์, มาตรฐาน",What are the criteria for selection?,kreye-teerr-i-uh,,
crucial,"[Adj] super important, you can't skip it","[Adj] สำคัญมาก, ชี้ขาด",Timing is crucial for this launch.,kru-shuhl,"critical, essential, important, pivotal, relevant",noncrucial
deadline,[N] the last day you can finish something,"[N] กำหนดส่ง, เส้นตาย",The deadline is next Friday.,dehd-leyen,,
decade,[N] 10 years,[N] ทศวรรษ,The company has grown a lot over the past decade.,duh-kayd,"x, tenner, ten, decennary, decennium",
decline,[V/N] to go down / to say no,"[V/N] ลดลง, ปฏิเสธ",Sales declined by 5% last month.,dih-kleyen,"decay, reject, diminution, fall, wane","ameliorate, improve, meliorate"
demonstrate,[V] to show how something works,"[V] แสดงให้เห็น, สาธิต",Let me demonstrate how it works.,dehmuhnstrayt,"ascertain, exhibit, manifest, present, establish","confute, disprove"
despite,[Prep] even though,[Prep] ทั้งๆ ที่,"Despite the rain, the event was a success.",dih-speyet,,
detect,[V] to find or notice something,"[V] ตรวจจับ, ค้นพบ",The system can detect errors automatically.,dih-tehkt,"observe, find, notice, discover",
determine,[V] to find out or decide,"[V] กำหนด, ตัดสินใจ",We need to determine the root cause.,dih-tɜmihn,"ascertain, set, influence, shape, see",
devote,[V] to give all your time and energy to something,"[V] อุทิศ, ทุ่มเท",She devoted her career to education.,dih-vuhuut,"give, commit, dedicate, pay",
dimension,[N] a size or measurement / a side of a topic,"[N] มิติ, ขนาด",Consider every dimension of the problem.,deye-mehnshuhn,"attribute, proportion, property",
discipline,[N] controlling yourself to follow rules / a subject area,"[N] วินัย, สาขาวิชา",Success requires discipline.,dih-suh-plihn,"subject, field, check, study, train","indiscipline, undiscipline"
disclose,[V] to tell something that was secret,[V] เปิดเผย,The company refused to disclose the details.,dihs-kluhuuz,"bring to light, expose, reveal, impart, make known","cover up, withhold"
dispute,[N/V] a fight or argument about something,"[N/V] ข้อพิพาท, โต้แย้ง",The dispute was resolved through mediation.,dihs-pyut,"conflict, challenge, gainsay, quarrel, argufy",
distinct,[Adj] clearly different from others,"[Adj] ชัดเจน, แตกต่าง",There are two distinct categories.,dihs-tihngkt,"sharp, clear, crisp, trenchant, different",indistinct
distribute,[V] to give out to many people,"[V] แจกจ่าย, กระจาย",Flyers were distributed to all attendees.,dih-strihbyut,"categorize, sort, courier, allot, dispend",
domestic,[Adj] inside your own country / related to home,"[Adj] ภายในประเทศ, ในบ้าน",Domestic flights depart from Terminal 1.,duh-mehstihk,"municipal, native, internal, tamed, husbandly","foreign, undomestic"
dominate,[V] to be the biggest or strongest,"[V] ครอบงำ, มีอิทธิพล",The brand dominates the market.,dahmuh-nayt,"command, prevail, overlook, master, rule",
draft,[N/V] a first version that's not finished yet,"[N/V] ร่าง, ฉบับร่าง",I'll send you the first draft by Monday.,draft,swig,
duration,[N] how long something lasts,[N] ระยะเวลา,The course duration is 6 weeks.,dyuu-rayshn,"continuance, length",
efficient,[Adj] does the job well without wasting time or money,[Adj] มีประสิทธิภาพ,The new process is much more efficient.,uh-fihshuhnt,"prompt, competent, expeditious, effective, streamlined",inefficient
eliminate,[V] to remove completely,"[V] กำจัด, ตัดออก",We need to eliminate unnecessary costs.,ih-lihmuhnayt,"void, obviate, pass, reject, eradicate","necessitate, demand, need"
emerge,[V] to come out or appear,"[V] ปรากฏ, เกิดขึ้น",New trends are emerging in the market.,i-mɜd͡zh,"come forth, forthcome, heave in sight",
emphasize,[V] to say something is very important,"[V] เน้น, ย้ำ",I want to emphasize the importance of safety.,ehm-fuh-seyez,"accentuate, stress, accent, underscore, punctuate","destress, deemphasize"
enable,[V] to make it possible for something to happen,[V] ทำให้สามารถ,This tool enables remote collaboration.,ih-naybuhl,,"disable, incapacitate, disenable"
encounter,[V/N] to meet or face something (often unexpected),"[V/N] พบเจอ, เผชิญ",We encountered a few problems along the way.,ihn-kowntuh,"brush, see, play, chance, hit",
enhance,[V] to make something better,"[V] เพิ่มพูน, ปรับปรุง",The update will enhance user experience.,ihn-hahns,"raise, heighten",
enormous,[Adj] very very big,"[Adj] มหาศาล, ใหญ่โต",The project requires an enormous budget.,ih-naw(r)muhs,"tremendous, large, big",
ensure,[V] to make sure something happens,[V] ทำให้แน่ใจ,Please ensure all doors are locked.,ihn-shaw,"ascertain, control, assure, secure, see",
enterprise,[N] a business or big project,"[N] กิจการ, วิสาหกิจ",She runs a small enterprise.,ehntɚ-preyez,"endeavor, initiative, endeavour, go-ahead, enterprisingness",
entire,"[Adj] all of it, the whole thing",[Adj] ทั้งหมด,The entire team was involved.,uhn-teyeuh,"full, smooth, total, intact, whole",
equivalent,[Adj/N] the same amount or value,[Adj/N] เทียบเท่า,One mile is roughly equivalent to 1.6 km.,ih-kwihvuhluhnt,"like, same, equal, eq, equivalent weight","unequal, unlike"
establish,[V] to start or create something new,"[V] ก่อตั้ง, สร้าง",The company was established in 1990.,ih-stab-lihsh,"base, demonstrate, constitute, show, give","confute, get rid of, disprove"
evident,"[Adj] easy to see, clear","[Adj] ชัดเจน, เห็นได้ชัด",It's evident that we need more staff.,eh-vih-duhnt,"manifest, plain, apparent, obvious, discernible",
exceed,"[V] to go over the limit, more than expected","[V] เกิน, มากกว่า",Sales exceeded expectations.,ihk-sid,"pass, surmount, transcend, top, surpass",
exception,[N] something that doesn't follow the rule,[N] ข้อยกเว้น,No exceptions will be made.,uhk-sehpshuhn,exclusion,"commonness, generality"
excessive,[Adj] way too much,[Adj] มากเกินไป,Excessive overtime is not encouraged.,ihk-sehsihv,"exuberant, extravagant, unrestrained, overweening, immoderate",
exhibit,[V/N] to show something to the public / a display,"[V/N] จัดแสดง, นิทรรศการ",The museum will exhibit new artwork next month.,ehg-,"showing, exhibition, exposition, show, demonstrate",
expand,[V] to get bigger or grow,[V] ขยาย,We plan to expand into new markets.,ehk-spand,"expound, flourish, expatiate, amplify, elaborate",
expertise,[N] being very skilled at something,[N] ความเชี่ยวชาญ,Her expertise in finance is impressive.,ehkspɚ-tis,expertness,
explicit,"[Adj] said very clearly, no confusion","[Adj] ชัดแจ้ง, โจ่งแจ้ง",The instructions were very explicit.,ihk-splihsiht,"raunchy, express, manifest, overt","circumspect, implicit, unexplicit"
expose,[V] to show something that was hidden,"[V] เปิดเผย, เผย",The report exposed several issues.,ihk-spuhuuz,"impart, exhibit, display, break, divulge",cover
extend,[V] to make longer or bigger,"[V] ขยาย, ต่อเวลา",Can we extend the deadline by one week?,ehk-stehnd,"enlarge, expand, increase, inherit, lengthen",
extensive,"[Adj] very wide, covers a lot","[Adj] กว้างขวาง, ครอบคลุม",She has extensive experience in marketing.,ehks-tehn-sihv,"comprehensive, copious, abundant, considerable, large",intensive
extract,[V/N] to pull out or take out,"[V/N] สกัด, ดึงออก",We need to extract data from the database.,,"elicit, evoke, educe, express, selection",
feasible,"[Adj] can be done, possible","[Adj] เป็นไปได้, ทำได้",Is this plan feasible within our budget?,fizuhbuhl,"achievable, doable, possible, practicable, workable","infeasible, unfeasible"
flexible,"[Adj] can change easily, not strict",[Adj] ยืดหยุ่น,We offer flexible working hours.,flehk-suh-buhl,"pliant, versatile, pliable, elastic, adaptable","inflexible, uncompromising"
forecast,[N/V] a guess about what will happen (like weather),"[N/V] พยากรณ์, คาดการณ์",The weather forecast says rain tomorrow.,fawkahst,"presage, augur, reckon, figure, portend",
formal,"[Adj] official, follows rules and traditions",[Adj] เป็นทางการ,Please send a formal invitation.,fawmuhl,"solemn, perfunctory, positive, conventional, elegant","informal, genus doliolum"
former,"[Adj] from before, previous","[Adj] อดีต, ก่อนหน้า",The former CEO retired last year.,fawmuh,"quondam, other, previous, erstwhile, early",latter
foundation,[N] the base of something / a charity organization,"[N] มูลนิธิ, รากฐาน",Trust is the foundation of any relationship.,fown-dayshuhn,"base, groundwall, basis, groundwork, establishment","abolition, dissolution, ruination"
fundamental,[Adj] very basic and important,"[Adj] พื้นฐาน, สำคัญ",This is a fundamental change in policy.,fuhnduh-mehntuhl,groundlaying,
generate,[V] to create or produce,"[V] สร้าง, ผลิต",The campaign generated a lot of interest.,yehn-uhr-ayt,"yield, render, give, engender, return",
genuine,"[Adj] real, not fake","[Adj] แท้จริง, จริงใจ",He showed genuine concern for the team.,yehnyu-eyen,"authentic, lubish, natural, real, true","fake, ingenuine"
grant,[N/V] money given for a purpose / to give officially,"[N/V] เงินทุน, มอบให้",The government granted funding for the project.,grahnt,"yield, concede, accord, cede, give","refuse, deny"
guideline,[N] a rule or tip that helps you do something right,"[N] แนวทาง, หลักเกณฑ์",Please follow the company guidelines.,,"rule of thumb, guidepost",
headquarters,[N] the main office of a company,[N] สำนักงานใหญ่,Our headquarters is in Bangkok.,hehd-kwaw-tuhz,"home office, main office, central office, hq, military headquarters",
hesitate,[V] to stop for a moment because you're not sure,[V] ลังเล,Don't hesitate to ask questions.,hehzihtayt,"pause, swiver, waver",
highlight,[V/N] to point out the most important part,"[V/N] เน้น, จุดเด่น",I'd like to highlight a few key points.,heye-leyet,"spotlight, foreground, play up, highlighting, high spot","background, play down"
ideal,"[Adj/N] the best, perfect","[Adj/N] อุดมคติ, เหมาะสมที่สุด",This is the ideal location for our office.,eye-di-uhl,"apotheosis, paragon, abstract, nonpareil, perfect",
identify,[V] to find out what something is,"[V] ระบุ, บ่งชี้",We need to identify the problem first.,eye-dehn-tih-feye,"key, describe, distinguish, name, key out",
illustrate,[V] to explain by showing examples,"[V] แสดงให้เห็น, อธิบาย",Let me illustrate with an example.,ih-luhs-trayt,"exemplify, instance",
impact,[N/V] a big effect on something,[N/V] ผลกระทบ,The policy had a huge impact on sales.,,"touch, affect, encroachment, shock, impingement",
imply,[V] to mean something without saying it directly,[V] บอกเป็นนัย,Are you implying that I made a mistake?,ihm-pleye,"mean, entail, connote, involve, incriminate",
impose,[V] to force a rule or tax on someone,"[V] กำหนด, บังคับ",The government imposed new regulations.,ihm-puhuuz,"enforce, visit, levy, bring down, inflict",
indicate,[V] to show or point to something,"[V] บ่งชี้, ระบุ",The data indicates a positive trend.,ihndihkayt,"show, point, bespeak, suggest, betoken",contraindicate
initiative,[N] doing something first without being told / a new plan,"[N] ความคิดริเริ่ม, โครงการ",She took the initiative to start the project.,ih-nihshuhtihv,"maiden, opening, inaugural, first, initiatory",
inquire,[V] to ask for information,[V] สอบถาม,I'd like to inquire about the job opening.,ihn-kweyeuh,frain,
insight,[N] a clear and deep understanding,[N] ความเข้าใจลึกซึ้ง,The report provides valuable insights.,ihnseyet,"discernment, penetration, perception",
inspect,[V] to check something carefully,[V] ตรวจสอบ,The building was inspected last week.,ihn-spehkt,"scrutinize, audit, visit",
instance,[N] an example or case,"[N] กรณี, ตัวอย่าง","For instance, we could try a different approach.",ihnstuhns,"case, exemplify, illustrate, representative, illustration",
integrate,[V] to put things together into one,[V] รวมเข้าด้วยกัน,We need to integrate the two systems.,ihntuhgrayt,"embody, fuse, merge, assimilate, incorporate",segregate
intend,[V] to plan to do something,"[V] ตั้งใจ, มุ่งหมาย",I intend to finish by Friday.,ihn-tehnd,"mean, think, designate, specify, signify",
intense,[Adj] very strong or serious,"[Adj] รุนแรง, เข้มข้น",The competition was intense.,ihn-tehns,"profound, vehement, keen, exquisite, sharp",mild
interpret,[V] to explain what something means / to translate,"[V] ตีความ, แปล",How do you interpret these results?,ihn-tɜ-priht,"decipher, elucidate, explain, expound, render",
investigate,[V] to look into something to find the truth,"[V] สืบสวน, ตรวจสอบ",The police are investigating the incident.,[ihn-ves-tih-gay̯t],look into,
itinerary,[N] a plan for a trip (where and when),[N] กำหนดการเดินทาง,Here's the itinerary for your trip.,eye-tihnuhri,"travel guidebook, travel plan",
complimentary,"[Adj] free, you don't pay / saying nice things","[Adj] ฟรี, ชมเชย",Breakfast is complimentary for all guests.,kahmpliḧ-mehnt(uh)ri,"free, gratuitous, laudatory, panegyrical, adulatory",uncomplimentary
expedite,[V] to make something happen faster,"[V] เร่ง, ทำให้เร็วขึ้น",Can you expedite the shipping?,ehk-spuh-deyet,hasten,
prospective,"[Adj] might happen in the future, possible",[Adj] ที่คาดว่าจะเป็น,We're meeting with prospective clients today.,pruh-spehktihv,"potential, expected, future, likely",retrospective
voucher,[N] a paper or code that gives you a discount,"[N] บัตรกำนัล, คูปอง",Use this voucher for a 10% discount.,vowchuh(r),coupon,
correspondence,[N] letters or emails between people,"[N] จดหมายโต้ตอบ, การติดต่อ",All correspondence should be sent to HR.,kahrih-spahnduhns,"balance, agreement, parallelism, map, symmetry","imbalance, asymmetry"
adjacent,[Adj] right next to,"[Adj] ติดกัน, ใกล้เคียง",The parking lot is adjacent to the building.,uh-yay-suhnt,"close, contiguous, near, connected, adjoining",
patron,[N] a regular customer or supporter,"[N] ลูกค้าประจำ, ผู้อุปถัมภ์",The restaurant thanks its loyal patrons.,pay-truhn,"supporter, sponsor, attender, frequenter, patronne",
no worries,"[Phrase] it's okay, don't worry about it",,"No worries, I'll handle it.",,,
my bad,"[Phrase] my mistake, sorry",,"Oh, my bad — I sent it to the wrong person.",,,
I'm swamped,[Phrase] I'm very busy,,Can we meet tomorrow? I'm swamped today.,,,
hang out,[PhV] to spend time casually,,Want to hang out after work?,,,
chill,[Adj/V] relaxed / to relax,,Let's just chill this weekend.,chihl,"cool, frisson, quiver, thrill, pall","heat, heat up, hot up"
a heads up,[Phrase] an advance warning,,Just a heads up — the meeting moved to 3 PM.,,,
no big deal,[Phrase] it's not important,,You forgot? No big deal.,,,
I'm down,"[Phrase] I agree, I want to join",,Dinner tonight? I'm down.,,,
for real,"[Phrase] seriously, truly",,For real? That's amazing!,,,
that makes sense,[Phrase] I understand now,,"Oh, that makes sense. Thanks for explaining.",,,
fair enough,"[Phrase] that's reasonable, I accept",,"Fair enough, let's do it your way.",,,
by the way,"[Phrase] also, additionally (BTW)",,"By the way, did you finish the report?",,,
kind of,"[Adv] somewhat, a little (kinda)",,I'm kind of tired today.,,,
figure out,"[PhV] to solve, understand",,I need to figure out how this works.,,,
mess up,[PhV] to make a mistake,,I messed up the order. Sorry!,,,
sort out,"[PhV] to organize, fix a problem",,Let me sort out the schedule first.,,,
end up,[PhV] to finally be in a situation,,We ended up staying until midnight.,,,
come up with,[PhV] to think of an idea,,She came up with a great solution.,,,
look into,"[PhV] to investigate, research",,I'll look into it and get back to you.,,,
run into,[PhV] to meet by chance,,I ran into our old colleague at the mall.,,,
catch up,"[PhV] to update each other, meet after a while",,Let's catch up over coffee sometime.,,,
keep up with,[PhV] to stay at the same level/pace,,It's hard to keep up with all the changes.,,,
put off,"[PhV] to postpone, delay",,Stop putting off the deadline.,,,
bring up,[PhV] to mention a topic,,She brought up a good point in the meeting.,,,
turn out,[PhV] the result was...,,It turned out better than expected.,,,
work out,[PhV] to exercise / to succeed,,I hope everything works out for you.,,,
get the hang of,[PhV] to learn how to do something,,You'll get the hang of it after a few tries.,,,
on the same page,"[Phrase] in agreement, same understanding",,Let's make sure we're on the same page.,,,
from scratch,"[Phrase] from the beginning, from zero",,I built this project from scratch.,,,
24/7,"[Phrase] all the time, always available",,The support team is available 24/7.,,,
touch base,[PhV] to briefly contact someone,,Let's touch base tomorrow morning.,,,
follow up,[PhV] to check on progress,,I'll follow up with the client next week.,,,
get back to,[PhV] to reply later,,Let me get back to you on that.,,,
wrap up,"[PhV] to finish, conclude",,Let's wrap up the meeting.,,,
fill in,"[PhV] to inform, or substitute for someone",,Can you fill me in on what I missed?,,,
take over,[PhV] to assume control,,She'll take over the project next month.,,,
carry out,"[PhV] to perform, execute",,We need to carry out the plan carefully.,,,
set up,"[PhV] to arrange, prepare",,I'll set up the meeting room.,,,
go over,[PhV] to review,,Let's go over the numbers one more time.,,,
point out,"[PhV] to indicate, highlight",,He pointed out several errors in the report.,,,
come across,[PhV] to find by chance / to seem,,She comes across as very confident.,,,
deal with,[PhV] to handle a situation,,How do you deal with difficult clients?,,,
cut back on,[PhV] to reduce,,We need to cut back on expenses.,,,
call off,[PhV] to cancel,,They called off the event due to rain.,,,
pull off,[PhV] to succeed at something difficult,,I can't believe we pulled it off!,,,
as per,[Prep] according to,,"As per our discussion, I've updated the file.",,,
please find attached,[Phrase] here is the file (email),,Please find attached the quarterly report.,,,
at your earliest convenience,[Phrase] as soon as you can (polite),,Please reply at your earliest convenience.,,,
I'd appreciate it if,[Phrase] polite request,,I'd appreciate it if you could review this.,,,
looking forward to,[Phrase] excited about (email closing),,Looking forward to hearing from you.,,,
with regard to,"[Prep] about, concerning",,"With regard to your request, we've approved it.",,,
for your reference,"[Phrase] FYI, for your information",,"For your reference, the policy has been updated.",,,
don't hesitate to,[Phrase] feel free to,,Don't hesitate to reach out if you need help.,,,
tbh,[Abbr] to be honest,,"Tbh, I didn't really like the movie.",,,
ngl,[Abbr] not gonna lie,,"Ngl, that presentation was really good.",,,
imo,[Abbr] in my opinion,,"Imo, we should go with option B.",,international maritime organization,
lmk,[Abbr] let me know,,Lmk if you're free this weekend.,,,
brb,[Abbr] be right back,,"Brb, grabbing coffee.",,,
fyi,[Abbr] for your information,,"Fyi, the deadline is next Friday.",,,
asap,[Abbr] as soon as possible,,Please send the report asap.,,,
gonna,[Slang] going to,,I'm gonna finish this tonight.,,,
wanna,[Slang] want to,,Wanna grab lunch?,,,
gotta,"[Slang] got to, have to",,I gotta go now. Talk later!,,,
gotcha,[Slang] I understand / I caught you,,"Gotcha, I'll fix it right away.",,,
nope,[Slang] no (casual),,"Nope, I haven't seen it yet.",nohp,,
yep,[Slang] yes (casual),,"Yep, sounds good to me.",yehp,,
